2ちゃんねる	にチャンネル
あなみす	あなみす
あの世に行く	あのよにいく
あばう	あばう
あばく	あばく
あびひる	あびひる
あふる	あふる
あふれ出す	あふれだす
あふれ出る	あふれでる
あふれ返る	あふれかえる
あぶ	あぶ
あぶあぶ	あぶあぶ
あぶない橋を渡る	あぶないはしをわたる
あぶはち取らず	あぶはちとらず
あぶはち取らず	アブハチとらず
あぶらかす	あぶらかす
あぶり出す	あぶりだす
あぶれる	あぶれる
あべい	あべい
あほう	あほう
あぼう	あぼう
あまい	あまい
あまく見る	あまくみる
あまだむ	あまだむ
あまる	あまる
あみだに被る	あみだにかぶる
あみ出す	あみだす
あめかす	あめかす
あめく	あめく
あめんどう	あめんどう
あやかしい	あやかしい
あやかす	あやかす
あやかる	あやかる
あやす	あやす
あやなす	あやなす
あやにく	あやにく
あやめたむ	あやめたむ
あらあらかしく	あらあらかしく
あらいたでる	あらいたでる
あらうる	あらうる
あらざらむ	あらざらむ
あらしふく	あらしふく
あらせいとう	あらせいとう
あらせられる	あらせられる
あらそえない	あらそえない
あらそわれない	あらそわれない
あらつ	あらつ
あらなう	あらなう
あらます	あらます
あらゆる	あらゆる
あられもない	あられもない
あらわれる	あらわれる
あらを探す	あらをさがす
あらを探す	アラをさがす
あら熱を取る	あらねつをとる
ありかつ	ありかつ
ありがたく思う	ありがたくおもう
ありとあらゆる	ありとあらゆる
ありとある	ありとある
ありとしある	ありとしある
あります	あります
ありゃりゃんりゅうとい	ありゃりゃんりゅうとい
ありんす	ありんす
あり付く	ありつく
あり余る	ありあまる
あり合わす	ありあわす
あり合わせる	ありあわせる
あり得ない	ありえない
あり得べからざる	ありうべからざる
あり得る	ありうる
あり得る	ありえる
あり触れる	ありふれる
あるとき払い	あるときばらい
あるに任せる	あるにまかせる
あるに従う	あるにしたがう
あれつく	あれつく
あわく	あわく
あわす	あわす
あわせ持つ	あわせもつ
あわたつ	あわたつ
あわよい	あわよい
あわ立つ	あわだつ
あんがい	あんがい
あんじょう	あんじょう
あんす	あんす
あんべい	あんべい
あんぽつ	あんぽつ
あんまりしい	あんまりしい
あんまりしない	あんまりしない
い	い
いい交わす	いいかわす
いい加減にしなさい	いいかげんにしなさい
いい加減にする	いいかげんにする
いい子になる	いいこになる
いい子ぶる	いいこぶる
いい後は悪い	いいあとはわるい
いい思いをする	いいおもいをする
いい日を選ぶ	いいひをえらぶ
いい日を選ぶ	よいひをえらぶ
いい気になる	いいきになる
いい線いってる	いいせんいってる
いい線を行く	いいせんをいく
いい線行く	いいせんいく
いい線行ってる	いいせんいってる
いい薬になる	いいくすりになる
いう	いう
いえい	いえい
いかがわしい	いかがわしい
いかく	いかく
いかす	いかす
いかつい	いかつい
いかない	いかない
いかぬ	いかぬ
いかめい	いかめい
いかもの食い	いかものぐい
いかよう	いかよう
いかれる	いかれる
いかんともしがたい	いかんともしがたい
いがみ合い	いがみあい
いがみ合う	いがみあう
いがらっぽい	いがらっぽい
いきおい	いきおい
いきが良い	いきがよい
いきが良い	イキがよい
いきた空はない	いきたそらはない
いきり立つ	いきりたつ
いくす	いくす
いくそばく	いくそばく
いくたつ	いくたつ
いくばくも無く	いくばくもなく
いぐむ	いぐむ
いけず	いけず
いけぞんざい	いけぞんざい
いけどう	いけどう
いけない	いけない
いけ図々しい	いけずうずうしい
いけ図図しい	いけずうずうしい
いけ圖々しい	いけずうずうしい
いけ圖圖しい	いけずうずうしい
いけ好かない	いけすかない
いげちない	いげちない
いげつない	いげつない
いこめく	いこめく
いごい	いごい
いごっそう	いごっそう
いごのう	いごのう
いさぎ良い	いさぎよい
いさく	いさく
いさちる	いさちる
いさつ	いさつ
いざいほう	いざいほう
いざす	いざす
いざよう	いざよう
いざり寄る	いざりよる
いざる	いざる
いざ知らず	いざしらず
いしこい	いしこい
いしこらしい	いしこらしい
いじくり回す	いじくりまわす
いじくれる	いじくれる
いじける	いじける
いじましい	いじましい
いじらしい	いじらしい
いじり回す	いじりまわす
いすすく	いすすく
いすろごう	いすろごう
いず	いず
いずい	いずい
いずる	いずる
いずれ劣らぬ	いずれおとらぬ
いせこむ	いせこむ
いせる	いせる
いせ込む	いせこむ
いたくもない腹を探られる	いたくもないはらをさぐられる
いたしめる	いたしめる
いたたまらず	いたたまらず
いたたまらない	いたたまらない
いたたまれない	いたたまれない
いただければと思う	いただければとおもう
いたぶ	いたぶ
いたぶる	いたぶる
いたみ悲しむ	いたみかなしむ
いたらぬ	いたらぬ
いちごます	いちごます
いちじく	いちじく
いちじょう	いちじょう
いちびる	いちびる
いちゃつく	いちゃつく
いち早く	いちはやく
いっける	いっける
いっちくたっちく	いっちくたっちく
いって参ります	いってまいります
いって来ます	いってきます
いって来る	いってくる
いっとう	いっとう
いっぱい食う	いっぱいくう
いっぱい食わす	いっぱいくわす
いっぱい食わせる	いっぱいくわせる
いつつ	いつつ
いとおしい	いとおしい
いとおしがる	いとおしがる
いとおしぶ	いとおしぶ
いとおしぼい	いとおしぼい
いとおしむ	いとおしむ
いとこ違い	いとこちがい
いとしぼい	いとしぼい
いとしぼらしい	いとしぼらしい
いとはす	いとはす
いなかぶす	いなかぶす
いなだく	いなだく
いななく	いななく
いなめない	いなめない
いなる	いなる
いぬたぶ	いぬたぶ
いぬづる	いぬづる
いぬぶんどう	いぬぶんどう
いのいい	いのいい
いのちを捨てる	いのちをすてる
いびきを掻く	いびきをかく
いびり出す	いびりだす
いびる	いびる
いぶす	いぶす
いぶせい	いぶせい
いぶせむ	いぶせむ
いぶり出す	いぶりだす
いぶる	いぶる
いぼい	いぼい
いぼう	いぼう
いぼようばい	いぼようばい
いぼる	いぼる
いみじく	いみじく
いめえましい	いめえましい
いものつゆ	いものつゆ
いやい	いやい
いやみを言う	いやみをいう
いやも応もなく	いやもおうもなく
いや増す	いやます
いや応なく	いやおうなく
いや気がさす	いやけがさす
いや気が差す	いやけがさす
いらして下さい	いらしてください
いらせられる	いらせられる
いらっしゃい	いらっしゃい
いらっしゃって下さい	いらっしゃってください
いらっしゃる	いらっしゃる
いらはいいらはい	いらはいいらはい
いらばかす	いらばかす
いら立たしい	いらだたしい
いら立つ	いらだつ
いりゃる	いりゃる
いわしやかず	いわしやかず
いわしらず	いわしらず
いを用いる	いをもちいる
いんちき臭い	いんちきくさい
いんちき臭い	インチキくさい
い及く	いしく
い取る	いとる
い向かふ	いむかう
い回む	いたむ
い寄る	いよる
い戯ふ	いそばう
い戲ふ	いそばう
い拾ふ	いひりう
い掘ず	いこず
い泊つ	いはつ
い添ふ	いそう
い漕ぐ	いこぐ
い積る	いつもる
い立つ	いたつ
い組む	いくむ
い繋る	いつがる
い羣る	いむる
い辛い	いがらい
い辛い	えがらい
い辿る	いたどる
い這ひ回る	いはいもとおる
い通ふ	いかよう
う	う
うお氷に上る	うおこおりにのぼる
うお氷に上る	うおひにのぼる
うかがい知る	うかがいしる
うかがわせる	うかがわせる
うかがわれる	うかがわれる
うかない	うかない
うかぬ顔をする	うかぬかおをする
うかび上がる	うかびあがる
うかび出る	うかびでる
うかりける	うかりける
うかれ歩く	うかれあるく
うきす	うきす
うぐいす	うぐいす
うぐう	うぐう
うけを狙う	うけをねらう
うけを狙う	ウケをねらう
うけ取る	うけとる
うごつく	うごつく
うざい	うざい
うざっこい	うざっこい
うざったい	うざったい
うざつく	うざつく
うざねはく	うざねはく
うざる	うざる
うしゃあがる	うしゃあがる
うしろ暗い	うしろぐらい
うじつく	うじつく
うじめく	うじめく
うじゃける	うじゃける
うじゃじゃける	うじゃじゃける
うすけい	うすけい
うすすく	うすすく
うすづく	うすづく
うずうず	うずうず
うずかす	うずかす
うずがく	うずがく
うずつく	うずつく
うずなう	うずなう
うずのう	うずのう
うずふれる	うずふれる
うずまう	うずまう
うそそく	うそそく
うそそける	うそそける
うそやぐ	うそやぐ
うそを付く	うそをつく
うそを付く	ウソをつく
うそを吐く	うそをつく
うそを吐く	ウソをつく
うそ寂しい	うそさびしい
うそ寒い	うそさむい
うそ恥かしい	うそはずかしい
うそ恥ずかしい	うそはずかしい
うそ淋しい	うそさびしい
うそ甘い	うそあまい
うそ笑む	うそえむ
うそ腹立つ	うそはらたつ
うそ腹立つ	うそばらだつ
うそ臭い	うそくさい
うそ臭い	ウソくさい
うぞつく	うぞつく
うぞる	うぞる
うたく	うたく
うたぐり深い	うたぐりぶかい
うたせる	うたせる
うたてい	うたてい
うたてがる	うたてがる
うだうだしい	うだうだしい
うだつが上がらない	うだつがあがらない
うだつく	うだつく
うだつの上がらない	うだつのあがらない
うだらしんめい	うだらしんめい
うだる	うだる
うちおぼめく	うちおぼめく
うちこくる	うちこくる
うちすげむ	うちすげむ
うちそよめく	うちそよめく
うちちょうず	うちちょうず
うちひく	うちひく
うちひさす	うちひさす
うちひさつ	うちひさつ
うちふてる	うちふてる
うち抜く	うちぬく
うち抜く	ぶちぬく
うち捨てる	うちすてる
うち破る	うちやぶる
うち立てる	うちたてる
うち続く	うちつづく
うち解けにくい	うちとけにくい
うち解ける	うちとける
うち込む	うちこむ
うち連れる	うちつれる
うっちゃける	うっちゃける
うっちゃらかす	うっちゃらかす
うっちゃりを食う	うっちゃりをくう
うっちゃる	うっちゃる
うっつく	うっつく
うっつくたっつく	うっつくたっつく
うって一丸となる	うって一いちがんとなる
うつうつ	うつうつ
うつく	うつく
うつし出す	うつしだす
うつつを抜かす	うつつをぬかす
うつ伏す	うつぶす
うつ伏せる	うつぶせる
うつ向く	うつむく
うてず	うてず
うてば響く	うてばひびく
うてんつ	うてんつ
うながける	うながける
うぬ	うぬ
うねくる	うねくる
うねどる	うねどる
うねりくねる	うねりくねる
うねる	うねる
うふ	うふ
うふふ	うふふ
うまい汁を吸う	うまいしるをすう
うまうましい	うまうましい
うまくやって行く	うまくやっていく
うまく行く	うまくいく
うまれ持つ	うまれもつ
うむがしむ	うむがしむ
うらがす	うらがす
うらだつ	うらだつ
うらびる	うらびる
うらびれる	うらびれる
うらぶれる	うらぶれる
うらみを買う	うらみをかう
うら寂しい	うらさびしい
うら恥かしい	うらはずかしい
うら恥ずかしい	うらはずかしい
うら悲しい	うらがなしい
うら枯れる	うらがれる
うら若い	うらわかい
うり二つ	うりふたつ
うり抜く	うりぬく
うり抜ける	うりぬける
うるい	うるい
うるうる	うるうる
うるかす	うるかす
うれずく	うれずく
うろうしゅう	うろうしゅう
うろがくる	うろがくる
うろが來る	うろがくる
うろが来る	うろがくる
うろたえる	うろたえる
うろつき回る	うろつきまわる
うろつく	うろつく
うろめく	うろめく
うろ抜く	うろぬく
うわぐむ	うわぐむ
うわさが立つ	うわさがたつ
うわさに違わぬ	うわさにたがわぬ
うわさを聞く	うわさをきく
うわつく	うわつく
うわべを飾る	うわべをかざる
うわもる	うわもる
うんちくを傾ける	うんちくをかたむける
うんつく	うんつく
うんともすんとも言わない	うんともすんともいわない
うんもすうも無く	うんもすうもなく
うん悪く	うんわるく
えい	えい
えいおう	えいおう
えいやっとう	えいやっとう
えがらっぽい	えがらっぽい
えぐり出す	えぐりだす
えげつない	えげつない
えじかる	えじかる
えじめる	えじめる
えず	えず
えずい	えずい
えぞにゅう	えぞにゅう
えつ	えつ
えならず	えならず
えむ	えむ
えも言はず	えもいわず
えも言われず	えもいわれず
えも言われぬ	えもいわれぬ
えらい目にあう	えらいめにあう
えらい目に会う	えらいめにあう
えらい目に遭う	えらいめにあう
えらが張る	えらがはる
えらが張る	エラがはる
えらく	えらく
えんさかほい	えんさかほい
えんぼう	えんぼう
え成らず	えならず
おあんなさる	おあんなさる
おあんなんす	おあんなんす
おい	おい
おいおい	おいおい
おいかい	おいかい
おいしいところを持っていく	おいしいところをもっていく
おいしい所を持っていく	おいしいところをもっていく
おいない	おいない
おうい	おうい
おうた子に教えられて浅瀬を渡る	おうたこにおしえられて浅あさせをわたる
おおさい	おおさい
おおしいつく	おおしいつく
おおずけない	おおずけない
おおせる	おおせる
おおぞう	おおぞう
おおつものぐるい	おおつものぐるい
おおてぼう	おおてぼう
おおどく	おおどく
おかけ下さい	おかけください
おかしい	おかしい
おかしがる	おかしがる
おかしばむ	おかしばむ
おかしむ	おかしむ
おかしらしい	おかしらしい
おかったるい	おかったるい
おかど違い	おかどちがい
おきく	おきく
おきのけんちょう	おきのけんちょう
おくびにも出さない	おくびにもださない
おくりゃる	おくりゃる
おくれる	おくれる
おけつ	おけつ
おけんつう	おけんつう
おこぼれに預かる	おこぼれにあずかる
おごない	おごない
おごり高ぶる	おごりたかぶる
おごる平家は久しからず	おごるへいけはひさしからず
おごる平家久しからず	おごるへいけひさしからず
おごれる者久しからず	おごれるものひさしからず
おざいす	おざいす
おざいます	おざいます
おざえす	おざえす
おざりいす	おざりいす
おざりんす	おざりんす
おざる	おざる
おざんす	おざんす
おざんない	おざんない
おしなる	おしなる
おしねる	おしねる
おしも押されもせぬ	おしもおされもせぬ
おしゃる	おしゃる
おしゃんす	おしゃんす
おしらる	おしらる
おし黙る	おしだまる
おじゃらします	おじゃらします
おじゃる	おじゃる
おすまる	おすまる
おずおず	おずおず
おせある	おせある
おせぐく	おせぐく
おせぐむ	おせぐむ
おぜいす	おぜいす
おぜえす	おぜえす
おぜんす	おぜんす
おそがい	おそがい
おそきに失する	おそきにしっする
おそばう	おそばう
おそぶらう	おそぶらう
おそぶる	おそぶる
おそれ多い	おそれおおい
おぞけを振るう	おじけをふるう
おぞけを振るう	おぞけをふるう
おぞけ立つ	おじけだつ
おぞけ立つ	おぞけだつ
おぞけ立つ	こわけたつ
おぞむ	おぞむ
おたかくとまる	おたかくとまる
おたびらかく	おたびらかく
おたんこなす	おたんこなす
おちゃっぴい	おちゃっぴい
おちゃない	おちゃない
おちゃらかす	おちゃらかす
おちょくる	おちょくる
おちょぼ口をする	おちょぼぐちをする
おぢゃる	おぢゃる
おっかじめる	おっかじめる
おっかない	おっかない
おっかながる	おっかながる
おっくるむ	おっくるむ
おっこちる	おっこちる
おっことす	おっことす
おっこむ	おっこむ
おっしんす	おっしんす
おっせえす	おっせえす
おっせんす	おっせんす
おったくる	おったくる
おっちょこちょい	おっちょこちょい
おっつかっつ	おっつかっつ
おっつくねる	おっつくねる
おっぱい	おっぱい
おっぱいを飲む	おっぱいをのむ
おっぽりだす	おっぽりだす
おっぽり出す	おっぽりだす
おっ付ける	おっつける
おっ取り籠む	おっとりこむ
おっ始める	おっぱじめる
おっ広げる	おっぴろげる
おっ廣げる	おっぴろげる
おっ放す	おっぱなす
おっ放り出す	おっぽりだす
おっ放る	おっぽる
おっ死ぬ	おっちぬ
おっ立つ	おったつ
おっ立てる	おったてる
おっ開く	おっぴらく
おっ魂消る	おったまげる
おつかつ	おつかつ
おつむ	おつむ
おつりが来る	おつりがくる
おとし入れる	おとしいれる
おとない	おとない
おとなう	おとなう
おとにきく	おとにきく
おどく	おどく
おどける	おどける
おどつく	おどつく
おどり上がる	おどりあがる
おどり出る	おどりでる
おどろおどろしい	おどろおどろしい
おなかが空く	おなかがすく
おなかを壊す	おなかをこわす
おなまめだんぶつ	おなまめだんぶつ
おにつかる	おにつかる
おにつわる	おにつわる
おはいはい	おはいはい
おばい	おばい
おひなる	おひなる
おひゃらかす	おひゃらかす
おひゃる	おひゃる
おひょう	おひょう
おひんなさる	おひんなさる
おひんなる	おひんなる
おびき入れる	おびきいれる
おびき出す	おびきだす
おびき寄せる	おびきよせる
おぶう	おぶう
おへいへい	おへいへい
おべっかる	おべっかる
おべっかを使う	おべっかをつかう
おほけなく	おほけなく
おぼおぼしい	おぼおぼしい
おぼとる	おぼとる
おぼめかす	おぼめかす
おぼめく	おぼめく
おぼる	おぼる
おぼれる者はわらをもつかむ	おぼれるものはわらをもつかむ
おぼれる者は藁をもつかむ	おぼれるものはわらをもつかむ
おまします	おまします
おまっす	おまっす
おまらす	おまらす
おまる	おまる
おまんぶ	おまんぶ
おみる	おみる
おむがしむ	おむがしむ
おむしゃる	おむしゃる
おめでたい	おめでたい
おめでたく	おめでたく
おめでとう	おめでとう
おめでとう御座います	おめでとうございます
おめらかす	おめらかす
おもい出す	おもいだす
おもしゃる	おもしゃる
おもしろおかしい	おもしろおかしい
おもしろおかしく	おもしろおかしく
おもしろくない	おもしろくない
おもしろずく	おもしろずく
おもちゃにする	おもちゃにする
おもらい	おもらい
おもろい	おもろい
おやす	おやす
おやすくない	おやすくない
おやっかない	おやっかない
およすく	およすく
およづく	およづく
およばない	およばない
およんなる	およんなる
おりある	おりある
おりいぶ	オリーブ
おりそう	おりそう
おりない	おりない
おりはやす	おりはやす
おりゃある	おりゃある
おりゃらします	おりゃらします
おりゃる	おりゃる
おろく	おろく
おろろんばい	おろろんばい
おわさう	おわさう
おわしまさう	おわしまさう
おわします	おわします
おわす	おわす
おわそう	おわそう
おわそうず	おわそうず
おんじゃる	おんじゃる
おんぞう	おんぞう
おんでもない	おんでもない
おんばく	おんばく
おんぶ	おんぶ
おんまくじる	おんまくじる
お上手を言う	おじょうずをいう
お世話になる	おせわになる
お世話をする	おせわをする
お互い	おたがい
お仕舞い	おしまい
お付き合い	おつきあい
お休みなさい	おやすみなさい
お伺い	おうかがい
お似合い	おにあい
お使い	おつかい
お先に失礼します	おさきにしつれいします
お先棒を担ぐ	おさきぼうをかつぐ
お八つ	おやつ
お出でなさい	おいでなさい
お出でなさる	おいでなさる
お出でになる	おいでになる
お初をいただく	おはつをいただく
お初を頂く	おはつをいただく
お化粧買い	おけしょうがい
お含みおきください	おふくみおきください
お含みおき下さい	おふくみおきください
お含み置きください	おふくみおきください
お含み置き下さい	おふくみおきください
お呪い	おまじない
お呼びじゃない	およびじゃない
お呼びでない	およびでない
お喜び申しあげる	およろこびもうしあげる
お喜び申し上げる	およろこびもうしあげる
お堅い	おかたい
お安い	おやすい
お安くない	おやすくない
お客様は神様です	おきゃくさまはかみさまです
お寒い	おさむい
お小遣い	おこづかい
お山狂い	おやまぐるい
お帰りなさい	おかえりなさい
お座なりになる	おざなりになる
お座なりを言う	おざなり
お座敷がかかる	おざしきがかかる
お座敷が掛かる	おざしきがかかる
お悔やみ申し上げます	おくやみもうしあげます
お愛でたい	おめでたい
お慶び申しあげる	およろこびもうしあげる
お慶び申し上げる	およろこびもうしあげる
お手伝い	おてつだい
お手数をおかけいたします	おてすうをおかけいたします
お手数をおかけ致します	おてすうをおかけいたします
お手洗い	おてあらい
お掛け下さい	おかけください
お揃い	おそろい
お早う	おはよう
お早うございます	おはようございます
お晩です	おばんです
お暑うございます	おあつうございます
お暑うご座います	おあつうございます
お暑う御座います	おあつうございます
お株を奪う	おかぶをうばう
お構い	おかまい
お構いなく	おかまいなく
お構い無く	おかまいなく
お歸りなさい	おかえりなさい
お気になさらず	おきになさらず
お気にめす	おきにめす
お気に召す	おきにめす
お求めやすい	おもとめやすい
お求め安い	おもとめやすい
お浚い	おさらい
お温習い	おさらい
お灸を据える	おきゅうをすえる
お熱い	おあつい
お猪口になる	おちょこになる
お留守になる	おるすになる
お百度を踏む	おひゃくどをふむ
お皈りなさい	おかえりなさい
お目にかかる	おめにかかる
お目にかける	おめにかける
お目にとまる	おめにとまる
お目に掛かる	おめにかかる
お目に掛かるお目に掛ける	おめにかかるおめにかける
お目に掛ける	おめにかける
お目に掛るお目に掛ける	おめにかかるおめにかける
お目に留まる	おめにとまる
お目出度い	おめでたい
お目出度う	おめでとう
お目出度うございます	おめでとうございます
お目玉を食らう	おめだまをくらう
お礼の申しよう	おれいのもうしよう
お祓い	おはらい
お祝い	おいわい
お神酒上がらぬ神はない	おみきあがらぬかみはない
お笑い	おわらい
お終い	おしまい
お聞きいただく	おききいただく
お聞き頂く	おききいただく
お腹いっぱい	おなかいっぱい
お腹がすく	おなかがすく
お腹がへる	おなかがへる
お腹が減る	おなかがへる
お腹が空く	おなかがすく
お腹をこわす	おなかをこわす
お腹をすかす	おなかをすかす
お腹を壊す	おなかをこわす
お腹を空かす	おなかをすかす
お腹を空かせる	おなかをすかせる
お芽出度い	おめでたい
お芽出度う	おめでとう
お茶する	おちゃする
お茶の子さいさい	おちゃのこさいさい
お茶をいれる	おちゃをいれる
お茶をひく	おちゃをひく
お茶を入れる	おちゃをいれる
お茶を淹れる	おちゃをいれる
お茶を濁す	おちゃをにごす
お見えになる	おみえになる
お見合い	おみあい
お見舞い	おみまい
お見舞い申し上げる	おみまいもうしあげる
お見逃しなく	おみのがしなく
お誕生日おめでとう	おたんじょうびおめでとう
お誕生日おめでとうございます	おたんじょうびおめでとうございます
お遣い	おつかい
お邪魔します	おじゃまします
お里が知れる	おさとがしれる
お金をおろす	おかねをおろす
お金を下ろす	おかねをおろす
お釜を掘る	おかまをほる
お釜を掘る	オカマをほる
お釣りがくる	おつりがくる
お釣りが来る	おつりがくる
お鉢が回ってくる	おはちがまわってくる
お鉢が回って来る	おはちがまわってくる
お鉢が回る	おはちがまわる
お門違い	おかどちがい
お開きにする	おひらきにする
お隠れになる	おかくれになる
お零れに与る	おこぼれにあずかる
お零れに預かる	おこぼれにあずかる
お預けを食う	おあずけをくう
お預けを食らう	おあずけをくらう
お願い	おねがい
お願いいたします	おねがいいたします
お願いします	おねがいします
お願いを聞く	おねがいをきく
お願い申し上げる	おねがいもうしあげる
お願い致します	おねがいいたします
お風呂に入る	おふろにはいる
かい	かい
かいかく	かいかく
かいず	かいず
かいだい	かいだい
かいつい	かいつい
かいぬく	かいぬく
かいばむ	かいばむ
かいふつ	かいふつ
かいまむ	かいまむ
かいま聞く	かいまきく
かいま見る	かいまみる
かいむく	かいむく
かいやい	かいやい
かいろう	かいろう
かいろぐ	かいろぐ
かい出す	かいだす
かい摘まむ	かいつまむ
かい摘む	かいつまむ
かい潜る	かいくぐる
かえらかす	かえらかす
かえらぬ人となる	かえらぬひととなる
かえりみて他を言う	かえりみてたをいう
かかえ込む	かかえこむ
かかぐる	かかぐる
かかずらう	かかずらう
かかはゆい	かかはゆい
かかめく	かかめく
かからぬ	かからぬ
かからめく	かからめく
かかり合い	かかりあい
かかり合う	かかりあう
かかわい	かかわい
かかわらず	かかわらず
かかわり合う	かかわりあう
かか飲む	かかのむ
かか鳴く	かかなく
かがみ込む	かがみこむ
かがやける	かがやける
かき消える	かききえる
かき消す	かきけす
かき混ぜる	かきまぜる
かき直す	かきなおす
かき立てる	かきたてる
かき込む	かきこむ
かき連ねる	かきつらねる
かき集める	かきあつめる
かき鳴らす	かきならす
かくかく	かくかく
かくたい	かくたい
かくの如く	かくのごとく
かく言う	かくいう
かぐる	かぐる
かけしろう	かけしろう
かけそく	かけそく
かけのめす	かけのめす
かけ合い	かけあい
かけ合う	かけあう
かけ回る	かけまわる
かけ寄る	かけよる
かけ直す	かけなおす
かけ込む	かけこむ
かけ離れる	かけはなれる
かげろう	かげろう
かげろふ	かげろふ
かこう	かこう
かこむ	かこむ
かさかさ鳴る	かさかさなる
かさかさ鳴る	カサカサなる
かさつく	かさつく
かさに着る	かさにきる
かさ張る	かさばる
かさ高い	かさだかい
かざう	かざう
かざむ	かざむ
かざる	かざる
かしあぐ	かしあぐ
かしく	かしく
かしめる	かしめる
かしらけずらず	かしらけずらず
かしらぬ	かしらぬ
かじい	かじい
かじかむ	かじかむ
かじくろしい	かじくろしい
かじける	かじける
かじめる	かじめる
かじり付く	かじりつく
かじり付く	かぶりつく
かじり散らす	かじりちらす
かじを切る	かじをきる
かじを取る	かじをとる
かす	かす
かすかす	かすかす
かすめ取る	かすめとる
かず	かず
かずかず	かずかず
かずす	かずす
